0	1		0.999		0.995		0.99		0.98		0.95		0.9		0.8		0.7
0	1.33155792	1.33428981	1.33437991	1.33613445	1.33210332	1.32372506	1.31232877	1.27985075	1.25853659
0	1.45137881	1.46226415	1.47826087	1.48876404	1.49792531	1.52295918	1.54692557	1.56880734	1.58641975
0.5	1.54083205	1.57142857	1.61257606	1.64318182	1.69251337	1.79335793	1.92513369	2.14814815	2.33333333
0.75	1.5576324	1.61080074	1.67981439	1.73497268	1.82068966	2.02747253	2.30555556	2.76923077	3.1
0.8	1.5625		1.6221374	1.70243902	1.76832845	1.8778626	2.11464968	2.46590909	3.025		3.34782609
0.85	1.56494523	1.63000000	1.73490814	1.81493506	1.94298246	2.26190476	2.67164179	3.31034483	3.75
0.9	1.56739812	1.65280665	1.78402367	1.89615385	2.08333333	2.48888889	3.09302326	3.72222222	4.1
			

